review_id,review_text,topic_text,v2_topic_id,topic_model_label,v2_business_topic,baseline_topic_id,baseline_model_topic,baseline_display_topic,baseline_business_topic,business_topic_changed
R000023,"My experience with customer support is mixed. It meets some expectations but could improve. I use it for sketching. After 56 days of use, this is my experience.",My experience with customer support is mixed,11,Customer / Replacement Process / Process Straightforward,Customer Service,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000024,"Customer support has ignored my warranty request for days. I use it for work notes. After 53 days of use, this is my experience.",Customer support has ignored my warranty request for days,3,Metal / Sturdy / Metal Body,Build Quality,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000025,"Poor value compared with my older device; I requested a refund. I bought it for university classes. After 37 days of use, this is my experience.",Poor value compared with my older device; I requested a refund,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000026,"Apps open quickly and multitasking feels smooth. I use it for work notes. After 13 days of use, this is my experience.",Apps open quickly and multitasking feels smooth,10,Open / Apps Open / Apps,Software & Performance,6,Apps / Apps Open / Open,App speed & multitasking,Software & Performance,False
R000027,"Performance slows down with a few apps open. I bought it for university classes. After 50 days of use, this is my experience.",Performance slows down with a few apps open,10,Open / Apps Open / Apps,Software & Performance,6,Apps / Apps Open / Open,App speed & multitasking,Software & Performance,False
R000028,"The included stylus is accurate and the case fits perfectly. I bought it for university classes. After 26 days of use, this is my experience.",The included stylus is accurate and the case fits perfectly,1,Games / Games Stutter / Stutter,Software & Performance,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,True
R000029,"The metal body feels sturdy and well assembled. I use it for work notes. After 76 days of use, this is my experience.",The metal body feels sturdy and well assembled,3,Metal / Sturdy / Metal Body,Build Quality,1,Quality / Build Quality / Build,Build quality,Build Quality,False
R000030,"My experience with price / value is mixed. It meets some expectations but could improve. My main use is streaming at home. After 78 days of use, this is my experience.",My experience with price / value is mixed,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000031,"Support replied promptly and resolved my warranty question. I use it for work notes. After 81 days of use, this is my experience.",Support replied promptly and resolved my warranty question,3,Metal / Sturdy / Metal Body,Build Quality,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000032,"The metal body feels sturdy and well assembled. I use it for sketching. After 32 days of use, this is my experience.",The metal body feels sturdy and well assembled,3,Metal / Sturdy / Metal Body,Build Quality,1,Quality / Build Quality / Build,Build quality,Build Quality,False
R000033,"The software is intuitive and updates install smoothly. I use it for work notes. After 60 days of use, this is my experience.",The software is intuitive and updates install smoothly,4,Software Intuitive / Intuitive Updates / Updates,Software & Updates,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000034,"For the price this tablet is excellent value. I take it on the train. After 49 days of use, this is my experience.",For the price this tablet is excellent value,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000035,"Support replied promptly and resolved my warranty question. This was a gift for my family. After 86 days of use, this is my experience.",Support replied promptly and resolved my warranty question,3,Metal / Sturdy / Metal Body,Build Quality,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000036,"The battery dies before lunch and I want a replacement. This was a gift for my family. After 79 days of use, this is my experience.",The battery dies before lunch and I want a replacement,12,Battery / Lasts / Lasts Commute,Battery Life,9,Battery / Commute Evening / Evening,Battery life,Battery Life,False
R000037,"I would buy it again because the features justify the cost. This was a gift for my family. After 8 days of use, this is my experience.",I would buy it again because the features justify the cost,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000038,"Customer support has ignored my warranty request for days. This was a gift for my family. After 22 days of use, this is my experience.",Customer support has ignored my warranty request for days,3,Metal / Sturdy / Metal Body,Build Quality,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000039,"My experience with performance is mixed. It meets some expectations but could improve. I use it for work notes. After 49 days of use, this is my experience.",My experience with performance is mixed,2,Easily / Pairs / Accessory Pairs,Accessories,6,Apps / Apps Open / Open,App speed & multitasking,Software & Performance,True
R000040,"The price feels expensive for what you get. I use it for sketching. After 28 days of use, this is my experience.",The price feels expensive for what you get,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000041,"The screen is crisp and colors look natural. I take it on the train. After 22 days of use, this is my experience.",The screen is crisp and colors look natural,5,Colors / Natural / Look Natural,Display,4,Colors / Crisp / Screen Crisp,Screen clarity & color,Display,False
R000042,"I would buy it again because the features justify the cost. I take it on the train. After 36 days of use, this is my experience.",I would buy it again because the features justify the cost,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000043,"The battery lasts through my commute and evening reading. I take it on the train. After 60 days of use, this is my experience.",The battery lasts through my commute and evening reading,12,Battery / Lasts / Lasts Commute,Battery Life,9,Battery / Commute Evening / Evening,Battery life,Battery Life,False
R000044,"I would buy it again because the features justify the cost. My main use is streaming at home. After 37 days of use, this is my experience.",I would buy it again because the features justify the cost,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000045,"Apps open quickly and multitasking feels smooth. My main use is streaming at home. After 35 days of use, this is my experience.",Apps open quickly and multitasking feels smooth,10,Open / Apps Open / Apps,Software & Performance,6,Apps / Apps Open / Open,App speed & multitasking,Software & Performance,False
R000046,"Charging is quick and the battery holds up all day. I have owned it for a month. After 79 days of use, this is my experience.",Charging is quick and the battery holds up all day,-1,Unassigned / mixed,Unassigned / mixed,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,False
R000047,"The price feels expensive for what you get. I use it for sketching. After 57 days of use, this is my experience.",The price feels expensive for what you get,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000048,"Build quality is solid and the buttons feel precise. This was a gift for my family. After 87 days of use, this is my experience.",Build quality is solid and the buttons feel precise,2,Easily / Pairs / Accessory Pairs,Accessories,1,Quality / Build Quality / Build,Build quality,Build Quality,True
R000049,"The interface is clean and the settings are easy to find. I bought it for university classes. After 80 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000050,"Customer service made the replacement process straightforward. I compared it with my previous tablet. After 58 days of use, this is my experience.",Customer service made the replacement process straightforward,11,Customer / Replacement Process / Process Straightforward,Customer Service,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000051,"The metal body feels sturdy and well assembled. My main use is streaming at home. After 38 days of use, this is my experience.",The metal body feels sturdy and well assembled,3,Metal / Sturdy / Metal Body,Build Quality,1,Quality / Build Quality / Build,Build quality,Build Quality,False
R000052,"The latest software update causes crashes and random restarts. I use it for work notes. After 33 days of use, this is my experience.",The latest software update causes crashes and random restarts,7,Random / Random Restarts / Software Update,Software & Updates,3,Latest Software / Software Update / Random,Software update stability,Software & Updates,False
R000053,"The processor handles games without any stutter. I compared it with my previous tablet. After 53 days of use, this is my experience.",The processor handles games without any stutter,1,Games / Games Stutter / Stutter,Software & Performance,7,Games Stutter / Stutter / Games,Gaming performance,Software & Performance,False
R000054,"The software is intuitive and updates install smoothly. I have owned it for a month. After 30 days of use, this is my experience.",The software is intuitive and updates install smoothly,4,Software Intuitive / Intuitive Updates / Updates,Software & Updates,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000055,"The casing creaks and the charging port feels loose. I compared it with my previous tablet. After 19 days of use, this is my experience.",The casing creaks and the charging port feels loose,1,Games / Games Stutter / Stutter,Software & Performance,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,True
R000056,"The included stylus is accurate and the case fits perfectly. I have owned it for a month. After 72 days of use, this is my experience.",The included stylus is accurate and the case fits perfectly,1,Games / Games Stutter / Stutter,Software & Performance,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,True
R000057,"Customer service made the replacement process straightforward. I compared it with my previous tablet. After 82 days of use, this is my experience.",Customer service made the replacement process straightforward,11,Customer / Replacement Process / Process Straightforward,Customer Service,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000058,"Charging is quick and the battery holds up all day. My main use is streaming at home. After 19 days of use, this is my experience.",Charging is quick and the battery holds up all day,-1,Unassigned / mixed,Unassigned / mixed,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,False
R000059,"My experience with software is mixed. It meets some expectations but could improve. I use it for sketching. After 71 days of use, this is my experience.",My experience with software is mixed,-1,Unassigned / mixed,Unassigned / mixed,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000060,"The battery lasts through my commute and evening reading. I have owned it for a month. After 63 days of use, this is my experience.",The battery lasts through my commute and evening reading,12,Battery / Lasts / Lasts Commute,Battery Life,9,Battery / Commute Evening / Evening,Battery life,Battery Life,False
R000061,"The interface is clean and the settings are easy to find. I take it on the train. After 64 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000062,"Build quality is solid and the buttons feel precise. I bought it for university classes. After 61 days of use, this is my experience.",Build quality is solid and the buttons feel precise,2,Easily / Pairs / Accessory Pairs,Accessories,1,Quality / Build Quality / Build,Build quality,Build Quality,True
R000063,"The battery lasts through my commute and evening reading. My main use is streaming at home. After 84 days of use, this is my experience.",The battery lasts through my commute and evening reading,12,Battery / Lasts / Lasts Commute,Battery Life,9,Battery / Commute Evening / Evening,Battery life,Battery Life,False
R000064,"I would buy it again because the features justify the cost. I use it for sketching. After 45 days of use, this is my experience.",I would buy it again because the features justify the cost,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000065,"My experience with display is mixed. It meets some expectations but could improve. I use it for sketching. After 30 days of use, this is my experience.",My experience with display is mixed,5,Colors / Natural / Look Natural,Display,4,Colors / Crisp / Screen Crisp,Screen clarity & color,Display,False
R000066,"Support replied promptly and resolved my warranty question. I take it on the train. After 4 days of use, this is my experience.",Support replied promptly and resolved my warranty question,3,Metal / Sturdy / Metal Body,Build Quality,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000067,"Build quality disappointed me; the hinge cracked in normal use. This was a gift for my family. After 49 days of use, this is my experience.",Build quality disappointed me; the hinge cracked in normal use,-1,Unassigned / mixed,Unassigned / mixed,1,Quality / Build Quality / Build,Build quality,Build Quality,True
R000068,"The keyboard accessory pairs easily and feels comfortable. This was a gift for my family. After 15 days of use, this is my experience.",The keyboard accessory pairs easily and feels comfortable,2,Easily / Pairs / Accessory Pairs,Accessories,10,Easily Feels / Keyboard Accessory / Feels Comfortable,Keyboard accessories,Accessories,False
R000069,"The software is intuitive and updates install smoothly. My main use is streaming at home. After 77 days of use, this is my experience.",The software is intuitive and updates install smoothly,4,Software Intuitive / Intuitive Updates / Updates,Software & Updates,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000070,"Support replied promptly and resolved my warranty question. I use it for work notes. After 46 days of use, this is my experience.",Support replied promptly and resolved my warranty question,3,Metal / Sturdy / Metal Body,Build Quality,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000071,"My experience with battery life is mixed. It meets some expectations but could improve. I compared it with my previous tablet. After 15 days of use, this is my experience.",My experience with battery life is mixed,12,Battery / Lasts / Lasts Commute,Battery Life,9,Battery / Commute Evening / Evening,Battery life,Battery Life,False
R000072,"The interface is clean and the settings are easy to find. I bought it for university classes. After 68 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000073,"Customer service made the replacement process straightforward. I use it for sketching. After 33 days of use, this is my experience.",Customer service made the replacement process straightforward,11,Customer / Replacement Process / Process Straightforward,Customer Service,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000074,"Display brightness makes reading outside comfortable. I use it for sketching. After 5 days of use, this is my experience.",Display brightness makes reading outside comfortable,9,Makes / Makes Reading / Display Brightness,Display,8,Makes / Reading Outside / Display Brightness,Outdoor screen visibility,Display,False
R000075,"Poor value compared with my older device; I requested a refund. This was a gift for my family. After 78 days of use, this is my experience.",Poor value compared with my older device; I requested a refund,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000076,"Build quality disappointed me; the hinge cracked in normal use. I compared it with my previous tablet. After 73 days of use, this is my experience.",Build quality disappointed me; the hinge cracked in normal use,-1,Unassigned / mixed,Unassigned / mixed,1,Quality / Build Quality / Build,Build quality,Build Quality,True
R000077,"The software is intuitive and updates install smoothly. This was a gift for my family. After 30 days of use, this is my experience.",The software is intuitive and updates install smoothly,4,Software Intuitive / Intuitive Updates / Updates,Software & Updates,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000078,"Display brightness makes reading outside comfortable. I have owned it for a month. After 72 days of use, this is my experience.",Display brightness makes reading outside comfortable,9,Makes / Makes Reading / Display Brightness,Display,8,Makes / Reading Outside / Display Brightness,Outdoor screen visibility,Display,False
R000079,"Apps open quickly and multitasking feels smooth. I use it for sketching. After 17 days of use, this is my experience.",Apps open quickly and multitasking feels smooth,10,Open / Apps Open / Apps,Software & Performance,6,Apps / Apps Open / Open,App speed & multitasking,Software & Performance,False
R000080,"Software notifications freeze and the app keeps losing my settings. My main use is streaming at home. After 26 days of use, this is my experience.",Software notifications freeze and the app keeps losing my settings,8,Keeps Losing / App / Freeze,Software & Updates,5,Keeps Losing / Notifications / App Keeps,App freezes & lost settings,Software & Updates,False
R000081,"Poor value compared with my older device; I requested a refund. I use it for work notes. After 8 days of use, this is my experience.",Poor value compared with my older device; I requested a refund,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000082,"My experience with software is mixed. It meets some expectations but could improve. This was a gift for my family. After 62 days of use, this is my experience.",My experience with software is mixed,-1,Unassigned / mixed,Unassigned / mixed,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000083,"Display brightness makes reading outside comfortable. My main use is streaming at home. After 10 days of use, this is my experience.",Display brightness makes reading outside comfortable,9,Makes / Makes Reading / Display Brightness,Display,8,Makes / Reading Outside / Display Brightness,Outdoor screen visibility,Display,False
R000084,"Build quality is solid and the buttons feel precise. My main use is streaming at home. After 33 days of use, this is my experience.",Build quality is solid and the buttons feel precise,2,Easily / Pairs / Accessory Pairs,Accessories,1,Quality / Build Quality / Build,Build quality,Build Quality,True
R000085,"The interface is clean and the settings are easy to find. I compared it with my previous tablet. After 58 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000086,"The keyboard accessory pairs easily and feels comfortable. I take it on the train. After 82 days of use, this is my experience.",The keyboard accessory pairs easily and feels comfortable,2,Easily / Pairs / Accessory Pairs,Accessories,10,Easily Feels / Keyboard Accessory / Feels Comfortable,Keyboard accessories,Accessories,False
R000087,"Battery drains overnight even when the tablet is idle. I use it for work notes. After 54 days of use, this is my experience.",Battery drains overnight even when the tablet is idle,1,Games / Games Stutter / Stutter,Software & Performance,9,Battery / Commute Evening / Evening,Battery life,Battery Life,True
R000088,"Games stutter and the tablet overheats after a short session. I compared it with my previous tablet. After 11 days of use, this is my experience.",Games stutter and the tablet overheats after a short session,1,Games / Games Stutter / Stutter,Software & Performance,7,Games Stutter / Stutter / Games,Gaming performance,Software & Performance,False
R000089,"The software is intuitive and updates install smoothly. I take it on the train. After 84 days of use, this is my experience.",The software is intuitive and updates install smoothly,4,Software Intuitive / Intuitive Updates / Updates,Software & Updates,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000090,"The battery dies before lunch and I want a replacement. I compared it with my previous tablet. After 17 days of use, this is my experience.",The battery dies before lunch and I want a replacement,12,Battery / Lasts / Lasts Commute,Battery Life,9,Battery / Commute Evening / Evening,Battery life,Battery Life,False
R000091,"The interface is clean and the settings are easy to find. I compared it with my previous tablet. After 12 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000092,"My experience with display is mixed. It meets some expectations but could improve. This was a gift for my family. After 75 days of use, this is my experience.",My experience with display is mixed,5,Colors / Natural / Look Natural,Display,4,Colors / Crisp / Screen Crisp,Screen clarity & color,Display,False
R000093,"Apps open quickly and multitasking feels smooth. I have owned it for a month. After 83 days of use, this is my experience.",Apps open quickly and multitasking feels smooth,10,Open / Apps Open / Apps,Software & Performance,6,Apps / Apps Open / Open,App speed & multitasking,Software & Performance,False
R000094,"The screen is crisp and colors look natural. I use it for sketching. After 54 days of use, this is my experience.",The screen is crisp and colors look natural,5,Colors / Natural / Look Natural,Display,4,Colors / Crisp / Screen Crisp,Screen clarity & color,Display,False
R000095,"The included stylus is accurate and the case fits perfectly. My main use is streaming at home. After 42 days of use, this is my experience.",The included stylus is accurate and the case fits perfectly,1,Games / Games Stutter / Stutter,Software & Performance,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,True
R000096,"The keyboard accessory pairs easily and feels comfortable. I compared it with my previous tablet. After 54 days of use, this is my experience.",The keyboard accessory pairs easily and feels comfortable,2,Easily / Pairs / Accessory Pairs,Accessories,10,Easily Feels / Keyboard Accessory / Feels Comfortable,Keyboard accessories,Accessories,False
R000097,"Apps open quickly and multitasking feels smooth. I take it on the train. After 36 days of use, this is my experience.",Apps open quickly and multitasking feels smooth,10,Open / Apps Open / Apps,Software & Performance,6,Apps / Apps Open / Open,App speed & multitasking,Software & Performance,False
R000098,"My experience with customer support is mixed. It meets some expectations but could improve. I bought it for university classes. After 41 days of use, this is my experience.",My experience with customer support is mixed,11,Customer / Replacement Process / Process Straightforward,Customer Service,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000099,"The casing creaks and the charging port feels loose. I compared it with my previous tablet. After 17 days of use, this is my experience.",The casing creaks and the charging port feels loose,1,Games / Games Stutter / Stutter,Software & Performance,7,Games Stutter / Stutter / Games,Gaming performance,Software & Performance,False
R000100,"Display brightness makes reading outside comfortable. I compared it with my previous tablet. After 33 days of use, this is my experience.",Display brightness makes reading outside comfortable,9,Makes / Makes Reading / Display Brightness,Display,8,Makes / Reading Outside / Display Brightness,Outdoor screen visibility,Display,False
R000101,"Apps open quickly and multitasking feels smooth. My main use is streaming at home. After 37 days of use, this is my experience.",Apps open quickly and multitasking feels smooth,10,Open / Apps Open / Apps,Software & Performance,6,Apps / Apps Open / Open,App speed & multitasking,Software & Performance,False
R000102,"Screen glare makes outdoor use frustrating. I bought it for university classes. After 59 days of use, this is my experience.",Screen glare makes outdoor use frustrating,9,Makes / Makes Reading / Display Brightness,Display,8,Makes / Reading Outside / Display Brightness,Outdoor screen visibility,Display,False
R000103,"Build quality is solid and the buttons feel precise. I take it on the train. After 32 days of use, this is my experience.",Build quality is solid and the buttons feel precise,2,Easily / Pairs / Accessory Pairs,Accessories,1,Quality / Build Quality / Build,Build quality,Build Quality,True
R000104,"Charging is quick and the battery holds up all day. I have owned it for a month. After 86 days of use, this is my experience.",Charging is quick and the battery holds up all day,-1,Unassigned / mixed,Unassigned / mixed,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,False
R000105,"For the price this tablet is excellent value. I compared it with my previous tablet. After 14 days of use, this is my experience.",For the price this tablet is excellent value,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000106,"For the price this tablet is excellent value. I compared it with my previous tablet. After 35 days of use, this is my experience.",For the price this tablet is excellent value,0,Price / Value / Tablet Excellent,Price & Value,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000107,"Games stutter and the tablet overheats after a short session. I use it for sketching. After 82 days of use, this is my experience.",Games stutter and the tablet overheats after a short session,1,Games / Games Stutter / Stutter,Software & Performance,7,Games Stutter / Stutter / Games,Gaming performance,Software & Performance,False
R000108,"The battery dies before lunch and I want a replacement. I take it on the train. After 13 days of use, this is my experience.",The battery dies before lunch and I want a replacement,12,Battery / Lasts / Lasts Commute,Battery Life,9,Battery / Commute Evening / Evening,Battery life,Battery Life,False
R000109,"Software notifications freeze and the app keeps losing my settings. I use it for work notes. After 7 days of use, this is my experience.",Software notifications freeze and the app keeps losing my settings,8,Keeps Losing / App / Freeze,Software & Updates,5,Keeps Losing / Notifications / App Keeps,App freezes & lost settings,Software & Updates,False
R000110,"Display brightness makes reading outside comfortable. I bought it for university classes. After 23 days of use, this is my experience.",Display brightness makes reading outside comfortable,9,Makes / Makes Reading / Display Brightness,Display,8,Makes / Reading Outside / Display Brightness,Outdoor screen visibility,Display,False
R000111,"Support replied promptly and resolved my warranty question. I take it on the train. After 61 days of use, this is my experience.",Support replied promptly and resolved my warranty question,3,Metal / Sturdy / Metal Body,Build Quality,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
R000112,"The interface is clean and the settings are easy to find. I bought it for university classes. After 11 days of use, this is my experience.",The interface is clean and the settings are easy to find,6,Interface Clean / Settings Easy / Clean,Usability & Interface,2,Clean / Settings Easy / Interface Clean,Interface & settings,Usability & Interface,False
R000113,"Display brightness makes reading outside comfortable. This was a gift for my family. After 27 days of use, this is my experience.",Display brightness makes reading outside comfortable,9,Makes / Makes Reading / Display Brightness,Display,8,Makes / Reading Outside / Display Brightness,Outdoor screen visibility,Display,False
R000114,"Charging is quick and the battery holds up all day. This was a gift for my family. After 4 days of use, this is my experience.",Charging is quick and the battery holds up all day,-1,Unassigned / mixed,Unassigned / mixed,-1,Unassigned / mixed,Unassigned / mixed,Unassigned / mixed,False
R000115,"The software is intuitive and updates install smoothly. I compared it with my previous tablet. After 38 days of use, this is my experience.",The software is intuitive and updates install smoothly,4,Software Intuitive / Intuitive Updates / Updates,Software & Updates,0,Use / Experience / Days,Mixed everyday experiences,Mixed / contextual,True
